m_flow_air_cleanroom,overpressure,m_air_flowrate,ulpa,cooling_bifur
302.97456,30,85,35,15
302.97456,30,85,35,17.5
302.97456,30,85,35,20
302.97456,30,85,35,22.5
302.97456,30,85,35,25
302.97456,30,85,45,15
302.97456,30,85,45,17.5
302.97456,30,85,45,20
302.97456,30,85,45,22.5
302.97456,30,85,45,25
302.97456,30,85,50,15
302.97456,30,85,50,17.5
302.97456,30,85,50,20
302.97456,30,85,50,22.5
302.97456,30,85,50,25
302.97456,30,85,57.5,15
302.97456,30,85,57.5,17.5
302.97456,30,85,57.5,20
302.97456,30,85,57.5,22.5
302.97456,30,85,57.5,25
302.97456,30,85,60,15
302.97456,30,85,60,17.5
302.97456,30,85,60,20
302.97456,30,85,60,22.5
302.97456,30,85,60,25
302.97456,30,100,35,15
302.97456,30,100,35,17.5
302.97456,30,100,35,20
302.97456,30,100,35,22.5
302.97456,30,100,35,25
302.97456,30,100,45,15
302.97456,30,100,45,17.5
302.97456,30,100,45,20
302.97456,30,100,45,22.5
302.97456,30,100,45,25
302.97456,30,100,50,15
302.97456,30,100,50,17.5
302.97456,30,100,50,20
302.97456,30,100,50,22.5
302.97456,30,100,50,25
302.97456,30,100,57.5,15
302.97456,30,100,57.5,17.5
302.97456,30,100,57.5,20
302.97456,30,100,57.5,22.5
302.97456,30,100,57.5,25
302.97456,30,100,60,15
302.97456,30,100,60,17.5
302.97456,30,100,60,20
302.97456,30,100,60,22.5
302.97456,30,100,60,25
302.97456,30,115,35,15
302.97456,30,115,35,17.5
302.97456,30,115,35,20
302.97456,30,115,35,22.5
302.97456,30,115,35,25
302.97456,30,115,45,15
302.97456,30,115,45,17.5
302.97456,30,115,45,20
302.97456,30,115,45,22.5
302.97456,30,115,45,25
302.97456,30,115,50,15
302.97456,30,115,50,17.5
302.97456,30,115,50,20
302.97456,30,115,50,22.5
302.97456,30,115,50,25
302.97456,30,115,57.5,15
302.97456,30,115,57.5,17.5
302.97456,30,115,57.5,20
302.97456,30,115,57.5,22.5
302.97456,30,115,57.5,25
302.97456,30,115,60,15
302.97456,30,115,60,17.5
302.97456,30,115,60,20
302.97456,30,115,60,22.5
302.97456,30,115,60,25
302.97456,30,129.55,35,15
302.97456,30,129.55,35,17.5
302.97456,30,129.55,35,20
302.97456,30,129.55,35,22.5
302.97456,30,129.55,35,25
302.97456,30,129.55,45,15
302.97456,30,129.55,45,17.5
302.97456,30,129.55,45,20
302.97456,30,129.55,45,22.5
302.97456,30,129.55,45,25
302.97456,30,129.55,50,15
302.97456,30,129.55,50,17.5
302.97456,30,129.55,50,20
302.97456,30,129.55,50,22.5
302.97456,30,129.55,50,25
302.97456,30,129.55,57.5,15
302.97456,30,129.55,57.5,17.5
302.97456,30,129.55,57.5,20
302.97456,30,129.55,57.5,22.5
302.97456,30,129.55,57.5,25
302.97456,30,129.55,60,15
302.97456,30,129.55,60,17.5
302.97456,30,129.55,60,20
302.97456,30,129.55,60,22.5
302.97456,30,129.55,60,25
302.97456,30,145,35,15
302.97456,30,145,35,17.5
302.97456,30,145,35,20
302.97456,30,145,35,22.5
302.97456,30,145,35,25
302.97456,30,145,45,15
302.97456,30,145,45,17.5
302.97456,30,145,45,20
302.97456,30,145,45,22.5
302.97456,30,145,45,25
302.97456,30,145,50,15
302.97456,30,145,50,17.5
302.97456,30,145,50,20
302.97456,30,145,50,22.5
302.97456,30,145,50,25
302.97456,30,145,57.5,15
302.97456,30,145,57.5,17.5
302.97456,30,145,57.5,20
302.97456,30,145,57.5,22.5
302.97456,30,145,57.5,25
302.97456,30,145,60,15
302.97456,30,145,60,17.5
302.97456,30,145,60,20
302.97456,30,145,60,22.5
302.97456,30,145,60,25
302.97456,30,160,35,15
302.97456,30,160,35,17.5
302.97456,30,160,35,20
302.97456,30,160,35,22.5
302.97456,30,160,35,25
302.97456,30,160,45,15
302.97456,30,160,45,17.5
302.97456,30,160,45,20
302.97456,30,160,45,22.5
302.97456,30,160,45,25
302.97456,30,160,50,15
302.97456,30,160,50,17.5
302.97456,30,160,50,20
302.97456,30,160,50,22.5
302.97456,30,160,50,25
302.97456,30,160,57.5,15
302.97456,30,160,57.5,17.5
302.97456,30,160,57.5,20
302.97456,30,160,57.5,22.5
302.97456,30,160,57.5,25
302.97456,30,160,60,15
302.97456,30,160,60,17.5
302.97456,30,160,60,20
302.97456,30,160,60,22.5
302.97456,30,160,60,25
302.97456,25,85,35,15
302.97456,25,85,35,17.5
302.97456,25,85,35,20
302.97456,25,85,35,22.5
302.97456,25,85,35,25
302.97456,25,85,45,15
302.97456,25,85,45,17.5
302.97456,25,85,45,20
302.97456,25,85,45,22.5
302.97456,25,85,45,25
302.97456,25,85,50,15
302.97456,25,85,50,17.5
302.97456,25,85,50,20
302.97456,25,85,50,22.5
302.97456,25,85,50,25
302.97456,25,85,57.5,15
302.97456,25,85,57.5,17.5
302.97456,25,85,57.5,20
302.97456,25,85,57.5,22.5
302.97456,25,85,57.5,25
302.97456,25,85,60,15
302.97456,25,85,60,17.5
302.97456,25,85,60,20
302.97456,25,85,60,22.5
302.97456,25,85,60,25
302.97456,25,100,35,15
302.97456,25,100,35,17.5
302.97456,25,100,35,20
302.97456,25,100,35,22.5
