FFU Air Flow Rate [kg/s],ULPA Pressure Drop [Pa],Cleanroom Overpressure [Pa],Process Exhaust [kg/s],Cooling Bifurcation Temperature [C],Chiller [MWha],LT Chiller [MWha],Booster Heat Pump [MWha],Hot Water Pump [MWha],Heat Recovery Water Pump [MWha],Chilled Water to Fab Pump [MWha],Chilled Water to PCW Pump [MWha],LT Chilled Water To Fab Pump [MWha],LT Chilled Water To PCW Pump [MWha],Cooling Water For Chiller Pump [MWha],Cooling Water For LT Chiller Pump [MWha],Cleanroom MAU Fan [MWha],Cleanroom Exhaust Fan [MWha],Cleanroom FFU Fan [MWha],Chem Room AHU Fan [MWha],Fac AHU Fan [MWha],Fac Recirculation Fan [MWha],Total [MWha]
302.97456,35,30,85,15,5891.404805,1471.534774,234.0950276,33.07120651,658.7964524,686.6017046,551.88,227.7069456,40.76028,1698.465451,330.247,2437.515019,392.156,206.4266669,280.9329664,312.3965504,1.752,15455.74285
302.97456,35,30,85,17.5,5849.382009,1587.181469,234.7476833,33.08665971,658.8506532,661.2546261,551.88,235.4228241,40.76028,1692.150126,334.1174561,2437.515019,392.156,206.4266669,280.9329664,312.3965504,1.752,15510.01299
302.97456,35,30,85,20,5828.450012,1489.051184,234.9943127,33.09367657,658.788653,654.6668397,551.88,236.6495041,40.76028,1689.000285,334.7086507,2437.515019,392.156,206.4266669,280.9329664,312.3965504,1.752,15383.2226
302.97456,35,30,85,22.5,5817.497494,1886.737224,234.2587871,33.07945756,658.8612401,652.4764096,551.88,238.2509757,40.76028,1687.363054,334.7882746,2437.515019,392.156,206.4266669,280.9329664,312.3965504,1.752,15767.1324
302.97456,35,30,85,25,5813.8979,1808.038336,234.7610362,33.0906162,658.6958378,651.9128321,551.88,239.3836649,40.76028,1686.819407,334.765683,2437.515019,392.156,206.4266669,280.9329664,312.3965504,1.752,15685.1848
302.97456,45,30,85,15,5891.404805,1471.534774,234.0950276,33.07120651,658.7964524,686.6017046,551.88,227.7069456,40.76028,1698.465451,330.247,2437.515019,392.156,265.4057146,280.9329664,312.3965504,1.752,15514.7219
302.97456,45,30,85,17.5,5849.382009,1587.181469,234.7476833,33.08665971,658.8506532,661.2546261,551.88,235.4228241,40.76028,1692.150126,334.1174561,2437.515019,392.156,265.4057146,280.9329664,312.3965504,1.752,15568.99204
302.97456,45,30,85,20,5828.450012,1489.051184,234.9943127,33.09367657,658.788653,654.6668397,551.88,236.6495041,40.76028,1689.000285,334.7086507,2437.515019,392.156,265.4057146,280.9329664,312.3965504,1.752,15442.20165
302.97456,45,30,85,22.5,5817.497494,1886.737224,234.2587871,33.07945756,658.8612401,652.4764096,551.88,238.2509757,40.76028,1687.363054,334.7882746,2437.515019,392.156,265.4057146,280.9329664,312.3965504,1.752,15826.11145
302.97456,45,30,85,25,5813.8979,1808.038336,234.7610362,33.0906162,658.6958378,651.9128321,551.88,239.3836649,40.76028,1686.819407,334.765683,2437.515019,392.156,265.4057146,280.9329664,312.3965504,1.752,15744.16384
302.97456,50,30,85,15,5891.404805,1471.534774,234.0950276,33.07120651,658.7964524,686.6017046,551.88,227.7069456,40.76028,1698.465451,330.247,2437.515019,392.156,294.8952384,280.9329664,312.3965504,1.752,15544.21142
302.97456,50,30,85,17.5,5849.382009,1587.181469,234.7476833,33.08665971,658.8506532,661.2546261,551.88,235.4228241,40.76028,1692.150126,334.1174561,2437.515019,392.156,294.8952384,280.9329664,312.3965504,1.752,15598.48156
302.97456,50,30,85,20,5828.450012,1489.051184,234.9943127,33.09367657,658.788653,654.6668397,551.88,236.6495041,40.76028,1689.000285,334.7086507,2437.515019,392.156,294.8952384,280.9329664,312.3965504,1.752,15471.69117
302.97456,50,30,85,22.5,5817.497494,1886.737224,234.2587871,33.07945756,658.8612401,652.4764096,551.88,238.2509757,40.76028,1687.363054,334.7882746,2437.515019,392.156,294.8952384,280.9329664,312.3965504,1.752,15855.60097
302.97456,50,30,85,25,5813.8979,1808.038336,234.7610362,33.0906162,658.6958378,651.9128321,551.88,239.3836649,40.76028,1686.819407,334.765683,2437.515019,392.156,294.8952384,280.9329664,312.3965504,1.752,15773.65337
302.97456,57.5,30,85,15,5891.404805,1471.534774,234.0950276,33.07120651,658.7964524,686.6017046,551.88,227.7069456,40.76028,1698.465451,330.247,2437.515019,392.156,339.1295242,280.9329664,312.3965504,1.752,15588.44571
302.97456,57.5,30,85,17.5,5849.382009,1587.181469,234.7476833,33.08665971,658.8506532,661.2546261,551.88,235.4228241,40.76028,1692.150126,334.1174561,2437.515019,392.156,339.1295242,280.9329664,312.3965504,1.752,15642.71585
302.97456,57.5,30,85,20,5828.450012,1489.051184,234.9943127,33.09367657,658.788653,654.6668397,551.88,236.6495041,40.76028,1689.000285,334.7086507,2437.515019,392.156,339.1295242,280.9329664,312.3965504,1.752,15515.92546
302.97456,57.5,30,85,22.5,5817.497494,1886.737224,234.2587871,33.07945756,658.8612401,652.4764096,551.88,238.2509757,40.76028,1687.363054,334.7882746,2437.515019,392.156,339.1295242,280.9329664,312.3965504,1.752,15899.83526
302.97456,57.5,30,85,25,5813.8979,1808.038336,234.7610362,33.0906162,658.6958378,651.9128321,551.88,239.3836649,40.76028,1686.819407,334.765683,2437.515019,392.156,339.1295242,280.9329664,312.3965504,1.752,15817.88765
302.97456,60,30,85,15,5891.404805,1471.534774,234.0950276,33.07120651,658.7964524,686.6017046,551.88,227.7069456,40.76028,1698.465451,330.247,2437.515019,392.156,353.8742861,280.9329664,312.3965504,1.752,15603.19047
302.97456,60,30,85,17.5,5849.382009,1587.181469,234.7476833,33.08665971,658.8506532,661.2546261,551.88,235.4228241,40.76028,1692.150126,334.1174561,2437.515019,392.156,353.8742861,280.9329664,312.3965504,1.752,15657.46061
302.97456,60,30,85,20,5828.450012,1489.051184,234.9943127,33.09367657,658.788653,654.6668397,551.88,236.6495041,40.76028,1689.000285,334.7086507,2437.515019,392.156,353.8742861,280.9329664,312.3965504,1.752,15530.67022
302.97456,60,30,85,22.5,5817.497494,1886.737224,234.2587871,33.07945756,658.8612401,652.4764096,551.88,238.2509757,40.76028,1687.363054,334.7882746,2437.515019,392.156,353.8742861,280.9329664,312.3965504,1.752,15914.58002
302.97456,60,30,85,25,5813.8979,1808.038336,234.7610362,33.0906162,658.6958378,651.9128321,551.88,239.3836649,40.76028,1686.819407,334.765683,2437.515019,392.156,353.8742861,280.9329664,312.3965504,1.752,15832.63242
302.97456,35,30,100,15,5903.616416,1553.713151,238.7314754,33.66228175,664.3201314,693.881736,551.88,237.1771463,40.76028,1700.291614,334.3188914,2810.165419,461.36,206.4266669,280.9329664,312.3965504,1.752,16025.38673
302.97456,35,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,206.4266669,280.9329664,312.3965504,1.752,16100.00694
302.97456,35,30,100,20,5832.550477,1804.561708,240.2141023,33.69616387,663.8758773,655.5770586,551.88,248.3602594,40.76028,1689.598041,338.1278011,2810.165419,461.36,206.4266669,280.9329664,312.3965504,1.752,16172.23537
302.97456,35,30,100,22.5,5819.495938,1867.735202,239.8476724,33.69035551,663.9933343,652.7996236,551.88,249.2962027,40.76028,1687.658037,337.5561112,2810.165419,461.36,206.4266669,280.9329664,312.3965504,1.752,16217.74636
302.97456,35,30,100,25,5813.960067,2020.873458,239.2632234,33.66747142,663.7113091,651.933746,551.88,250.4153894,40.76028,1686.828134,337.2021479,2810.165419,461.36,206.4266669,280.9329664,312.3965504,1.752,16363.52883
302.97456,45,30,100,15,5903.616416,1553.713151,238.7314754,33.66228175,664.3201314,693.881736,551.88,237.1771463,40.76028,1700.291614,334.3188914,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16084.36577
302.97456,45,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16158.98599
